machine,variant,measurement,median,min
09gen_i7_9850H_P1,ept,read_byte,58.9,50.3
09gen_i7_9850H_P1,ept,read_page,63886.05,62412.5
09gen_i7_9850H_P1,ept-fast,timing_overhead,0.8,0.7
09gen_i7_9850H_P1,ept-fast,exec_bp_only,37.0,25.8
09gen_i7_9850H_P1,ept-fast,exec_page,37.2,27.6
09gen_i7_9850H_P1,ept-fast,read_byte,59.2,50.6
09gen_i7_9850H_P1,ept-fast,read_page,64215.15,62423.3
09gen_i7_9850H_P1,repair,timing_overhead,0.8,0.7
09gen_i7_9850H_P1,repair,exec_bp_only,82.7,68.8
09gen_i7_9850H_P1,repair,exec_page,82.7,69.6
09gen_i7_9850H_P1,repair,read_byte,20.6,12.5
09gen_i7_9850H_P1,repair,read_page,22546.949999999997,21863.5
09gen_i7_9850H_P1,emul,timing_overhead,0.8,0.7
09gen_i7_9850H_P1,emul,exec_bp_only,20.1,11.7
09gen_i7_9850H_P1,emul,exec_page,20.8,11.9
09gen_i7_9850H_P1,emul,read_byte,21.7,12.4
09gen_i7_9850H_P1,emul,read_page,21505.65,20402.5
09gen_i9_9900K_pc,-,sysbench,1270.4,1270.4
09gen_i9_9900K_pc,ept,timing_overhead,1.0,0.9
09gen_i9_9900K_pc,ept,exec_bp_only,64.7,54.9
09gen_i9_9900K_pc,ept,exec_page,65.2,55.1
09gen_i9_9900K_pc,ept,read_byte,65.9,55.1
09gen_i9_9900K_pc,ept,read_page,66126.7,64866.3
09gen_i9_9900K_pc,ept-fast,timing_overhead,1.0,0.9
09gen_i9_9900K_pc,ept-fast,exec_bp_only,39.5,31.5
09gen_i9_9900K_pc,ept-fast,exec_page,40.4,31.4
09gen_i9_9900K_pc,ept-fast,read_byte,64.8,54.4
09gen_i9_9900K_pc,ept-fast,read_page,69177.95,67976.1
09gen_i9_9900K_pc,repair,timing_overhead,1.0,0.9
09gen_i9_9900K_pc,repair,exec_bp_only,88.4,79.9
09gen_i9_9900K_pc,repair,exec_page,89.3,80.4
09gen_i9_9900K_pc,repair,read_byte,21.9,14.3
09gen_i9_9900K_pc,repair,read_page,21355.35,20795.5
09gen_i9_9900K_pc,emul,timing_overhead,1.0,0.9
09gen_i9_9900K_pc,emul,exec_bp_only,20.5,13.3
09gen_i9_9900K_pc,emul,exec_page,20.8,13.8
09gen_i9_9900K_pc,emul,read_byte,22.1,14.5
09gen_i9_9900K_pc,emul,read_page,21535.550000000003,20996.2
10gen_i5_10310U_T14,-,sysbench,1467.4,1467.4
10gen_i5_10310U_T14,ept,timing_overhead,1.1,1.0
10gen_i5_10310U_T14,ept,exec_bp_only,55.6,48.6
10gen_i5_10310U_T14,ept,exec_page,55.9,49.1
10gen_i5_10310U_T14,ept,read_byte,56.2,49.9
10gen_i5_10310U_T14,ept,read_page,68106.4,54704.2
10gen_i5_10310U_T14,ept-fast,timing_overhead,1.1,1.0
10gen_i5_10310U_T14,ept-fast,exec_bp_only,35.7,28.3
10gen_i5_10310U_T14,ept-fast,exec_page,36.0,28.2
10gen_i5_10310U_T14,ept-fast,read_byte,56.7,49.8
10gen_i5_10310U_T14,ept-fast,read_page,68900.95,55413.4
10gen_i5_10310U_T14,repair,timing_overhead,68.2,53.8
10gen_i5_10310U_T14,repair,exec_bp_only,84.7,57.9
10gen_i5_10310U_T14,repair,exec_page,84.8,71.3
10gen_i5_10310U_T14,repair,read_byte,107.5,92.5
10gen_i5_10310U_T14,repair,read_page,21719.800000000003,20815.5
10gen_i5_10310U_T14,emul,timing_overhead,68.8,56.6
10gen_i5_10310U_T14,emul,exec_bp_only,82.5,69.5
10gen_i5_10310U_T14,emul,exec_page,82.2,68.3
10gen_i5_10310U_T14,emul,read_byte,104.4,92.6
10gen_i5_10310U_T14,emul,read_page,21709.0,20846.0
11gen_i7_1165G7_XP14,-,sysbench,2389.13,2389.13
11gen_i7_1165G7_XP14,ept,timing_overhead,1.6,1.4
11gen_i7_1165G7_XP14,ept,exec_bp_only,84.2,69.9
11gen_i7_1165G7_XP14,ept,exec_page,84.2,70.7
11gen_i7_1165G7_XP14,ept,read_byte,84.9,70.5
11gen_i7_1165G7_XP14,ept,read_page,89280.35,87527.3
11gen_i7_1165G7_XP14,ept-fast,timing_overhead,1.6,1.4
11gen_i7_1165G7_XP14,ept-fast,exec_bp_only,49.7,39.2
11gen_i7_1165G7_XP14,ept-fast,exec_page,49.9,39.8
11gen_i7_1165G7_XP14,ept-fast,read_byte,84.4,70.7
11gen_i7_1165G7_XP14,ept-fast,read_page,88645.15,87052.1
11gen_i7_1165G7_XP14,repair,timing_overhead,1.6,1.4
11gen_i7_1165G7_XP14,repair,exec_bp_only,117.3,107.7
11gen_i7_1165G7_XP14,repair,exec_page,117.7,108.1
11gen_i7_1165G7_XP14,repair,read_byte,31.8,21.4
11gen_i7_1165G7_XP14,repair,read_page,33093.25,32394.9
11gen_i7_1165G7_XP14,emul,timing_overhead,1.6,1.4
11gen_i7_1165G7_XP14,emul,exec_bp_only,30.9,20.7
11gen_i7_1165G7_XP14,emul,exec_page,30.9,21.1
11gen_i7_1165G7_XP14,emul,read_byte,31.9,21.6
11gen_i7_1165G7_XP14,emul,read_page,33025.2,32183.7
11gen_i7_11800H_katana,-,sysbench,1961.76,1961.76
11gen_i7_11800H_katana,ept,timing_overhead,1.9,1.8
11gen_i7_11800H_katana,ept,exec_bp_only,145.1,133.3
11gen_i7_11800H_katana,ept,exec_page,145.5,133.1
11gen_i7_11800H_katana,ept,read_byte,146.2,134.1
11gen_i7_11800H_katana,ept,read_page,161433.4,158656.5
11gen_i7_11800H_katana,ept-fast,timing_overhead,1.9,1.8
11gen_i7_11800H_katana,ept-fast,exec_bp_only,84.2,78.1
11gen_i7_11800H_katana,ept-fast,exec_page,84.6,78.6
11gen_i7_11800H_katana,ept-fast,read_byte,145.1,133.5
11gen_i7_11800H_katana,ept-fast,read_page,160761.55,153690.6
11gen_i7_11800H_katana,repair,timing_overhead,1.9,1.7
11gen_i7_11800H_katana,repair,exec_bp_only,192.2,185.9
11gen_i7_11800H_katana,repair,exec_page,192.8,183.2
11gen_i7_11800H_katana,repair,read_byte,65.3,57.5
11gen_i7_11800H_katana,repair,read_page,72032.45,70111.4
11gen_i7_11800H_katana,emul,timing_overhead,1.9,1.7
11gen_i7_11800H_katana,emul,exec_bp_only,62.9,59.5
11gen_i7_11800H_katana,emul,exec_page,63.4,60.5
11gen_i7_11800H_katana,emul,read_byte,65.3,61.9
11gen_i7_11800H_katana,emul,read_page,71930.15,70299.2
12gen_i7_1260P_T14,-,sysbench,3941.16,3941.16
12gen_i7_1260P_T14,ept,timing_overhead,0.7,0.6
12gen_i7_1260P_T14,ept,exec_bp_only,58.0,42.6
12gen_i7_1260P_T14,ept,exec_page,50.2,42.7
12gen_i7_1260P_T14,ept,read_byte,50.3,42.3
12gen_i7_1260P_T14,ept,read_page,52892.0,50580.6
12gen_i7_1260P_T14,ept-fast,timing_overhead,0.7,0.6
12gen_i7_1260P_T14,ept-fast,exec_bp_only,35.5,28.4
12gen_i7_1260P_T14,ept-fast,exec_page,31.1,29.1
12gen_i7_1260P_T14,ept-fast,read_byte,50.4,45.9
12gen_i7_1260P_T14,ept-fast,read_page,53289.25,50533.9
12gen_i7_1260P_T14,repair,timing_overhead,0.8,0.6
12gen_i7_1260P_T14,repair,exec_bp_only,71.0,64.3
12gen_i7_1260P_T14,repair,exec_page,71.3,64.3
12gen_i7_1260P_T14,repair,read_byte,23.5,17.0
12gen_i7_1260P_T14,repair,read_page,21772.949999999997,19129.1
12gen_i7_1260P_T14,emul,timing_overhead,0.8,0.6
12gen_i7_1260P_T14,emul,exec_bp_only,22.6,17.2
12gen_i7_1260P_T14,emul,exec_page,22.8,16.7
12gen_i7_1260P_T14,emul,read_byte,23.7,18.2
12gen_i7_1260P_T14,emul,read_page,22542.9,19353.1
12gen_i7_1265U_L14,-,sysbench,1265.3,1265.3
12gen_i7_1265U_L14,ept,timing_overhead,4.3,4.1
12gen_i7_1265U_L14,ept,exec_bp_only,143.5,129.5
12gen_i7_1265U_L14,ept,exec_page,144.9,129.7
12gen_i7_1265U_L14,ept,read_byte,147.7,133.1
12gen_i7_1265U_L14,ept,read_page,190101.85,178046.5
12gen_i7_1265U_L14,ept-fast,timing_overhead,4.2,4.1
12gen_i7_1265U_L14,ept-fast,exec_bp_only,83.9,79.1
12gen_i7_1265U_L14,ept-fast,exec_page,84.8,78.4
12gen_i7_1265U_L14,ept-fast,read_byte,147.1,133.4
12gen_i7_1265U_L14,ept-fast,read_page,187397.8,177342.5
12gen_i7_1265U_L14,repair,timing_overhead,4.2,4.0
12gen_i7_1265U_L14,repair,exec_bp_only,181.9,161.1
12gen_i7_1265U_L14,repair,exec_page,184.1,159.9
12gen_i7_1265U_L14,repair,read_byte,59.3,50.3
12gen_i7_1265U_L14,repair,read_page,71306.04999999999,67637.1
12gen_i7_1265U_L14,emul,timing_overhead,4.2,4.0
12gen_i7_1265U_L14,emul,exec_bp_only,57.5,49.9
12gen_i7_1265U_L14,emul,exec_page,58.3,48.6
12gen_i7_1265U_L14,emul,read_byte,59.4,50.3
12gen_i7_1265U_L14,emul,read_page,71110.9,67465.4
12gen_i7_12700H_ideapad,-,sysbench,3877.77,3877.77
12gen_i7_12700H_ideapad,ept,timing_overhead,0.7,0.6
12gen_i7_12700H_ideapad,ept,exec_bp_only,42.9,37.0
12gen_i7_12700H_ideapad,ept,exec_page,40.9,37.1
12gen_i7_12700H_ideapad,ept,read_byte,41.2,37.5
12gen_i7_12700H_ideapad,ept,read_page,41703.85,40995.6
12gen_i7_12700H_ideapad,ept-fast,timing_overhead,0.8,0.6
12gen_i7_12700H_ideapad,ept-fast,exec_bp_only,25.8,20.7
12gen_i7_12700H_ideapad,ept-fast,exec_page,25.2,21.0
12gen_i7_12700H_ideapad,ept-fast,read_byte,41.1,37.8
12gen_i7_12700H_ideapad,ept-fast,read_page,41572.5,40595.8
12gen_i7_12700H_ideapad,repair,timing_overhead,0.7,0.6
12gen_i7_12700H_ideapad,repair,exec_bp_only,62.4,57.7
12gen_i7_12700H_ideapad,repair,exec_page,62.6,57.5
12gen_i7_12700H_ideapad,repair,read_byte,15.6,11.4
12gen_i7_12700H_ideapad,repair,read_page,15117.25,14273.0
12gen_i7_12700H_ideapad,emul,timing_overhead,0.7,0.6
12gen_i7_12700H_ideapad,emul,exec_bp_only,15.4,10.8
12gen_i7_12700H_ideapad,emul,exec_page,15.2,10.8
12gen_i7_12700H_ideapad,emul,read_byte,15.8,11.5
12gen_i7_12700H_ideapad,emul,read_page,15102.55,14286.3
12gen_i7_12700T_P360tiny,-,sysbench,3867.4,3867.4
12gen_i7_12700T_P360tiny,ept,timing_overhead,0.7,0.6
12gen_i7_12700T_P360tiny,ept,exec_bp_only,50.9,47.6
12gen_i7_12700T_P360tiny,ept,exec_page,51.7,47.2
12gen_i7_12700T_P360tiny,ept,read_byte,52.1,47.8
12gen_i7_12700T_P360tiny,ept,read_page,52879.649999999994,51559.6
12gen_i7_12700T_P360tiny,ept-fast,timing_overhead,0.7,0.6
12gen_i7_12700T_P360tiny,ept-fast,exec_bp_only,31.0,29.0
12gen_i7_12700T_P360tiny,ept-fast,exec_page,31.4,29.0
12gen_i7_12700T_P360tiny,ept-fast,read_byte,52.3,47.9
12gen_i7_12700T_P360tiny,ept-fast,read_page,52939.45,51655.8
12gen_i7_12700T_P360tiny,repair,timing_overhead,0.7,0.6
12gen_i7_12700T_P360tiny,repair,exec_bp_only,66.7,66.0
12gen_i7_12700T_P360tiny,repair,exec_page,66.9,66.2
12gen_i7_12700T_P360tiny,repair,read_byte,23.3,21.6
12gen_i7_12700T_P360tiny,repair,read_page,23979.45,23256.6
12gen_i7_12700T_P360tiny,emul,timing_overhead,0.7,0.6
12gen_i7_12700T_P360tiny,emul,exec_bp_only,22.4,20.6
12gen_i7_12700T_P360tiny,emul,exec_page,22.7,20.7
12gen_i7_12700T_P360tiny,emul,read_byte,23.9,21.5
12gen_i7_12700T_P360tiny,emul,read_page,22947.3,21610.1
13gen_i7_13620H_infinity,-,sysbench,3602.98,3602.98
13gen_i7_13620H_infinity,ept,timing_overhead,0.7,0.6
13gen_i7_13620H_infinity,ept,exec_bp_only,56.2,46.1
13gen_i7_13620H_infinity,ept,exec_page,55.5,47.2
13gen_i7_13620H_infinity,ept,read_byte,55.8,46.7
13gen_i7_13620H_infinity,ept,read_page,56928.45,55166.6
13gen_i7_13620H_infinity,ept-fast,timing_overhead,0.7,0.6
13gen_i7_13620H_infinity,ept-fast,exec_bp_only,33.0,29.4
13gen_i7_13620H_infinity,ept-fast,exec_page,32.5,26.1
13gen_i7_13620H_infinity,ept-fast,read_byte,55.8,46.8
13gen_i7_13620H_infinity,ept-fast,read_page,56927.3,55311.9
13gen_i7_13620H_infinity,repair,timing_overhead,0.7,0.6
13gen_i7_13620H_infinity,repair,exec_bp_only,91.8,82.8
13gen_i7_13620H_infinity,repair,exec_page,92.0,82.5
13gen_i7_13620H_infinity,repair,read_byte,24.5,17.4
13gen_i7_13620H_infinity,repair,read_page,24963.0,23480.0
13gen_i7_13620H_infinity,emul,timing_overhead,0.7,0.6
13gen_i7_13620H_infinity,emul,exec_bp_only,23.7,17.5
13gen_i7_13620H_infinity,emul,exec_page,23.8,19.0
13gen_i7_13620H_infinity,emul,read_byte,24.5,20.2
13gen_i7_13620H_infinity,emul,read_page,24566.2,23293.3
13gen_i7_13700H_infinity,ept,timing_overhead,0.8,0.6
13gen_i7_13700H_infinity,ept,exec_bp_only,75.3,44.5
13gen_i7_13700H_infinity,ept,exec_page,75.1,48.5
13gen_i7_13700H_infinity,ept,read_byte,75.2,42.9
13gen_i7_13700H_infinity,ept,read_page,76875.20000000001,65897.0
13gen_i7_13700H_infinity,ept-fast,timing_overhead,0.8,0.6
13gen_i7_13700H_infinity,ept-fast,exec_bp_only,46.3,14.5
13gen_i7_13700H_infinity,ept-fast,exec_page,46.0,17.1
13gen_i7_13700H_infinity,ept-fast,read_byte,75.3,50.0
13gen_i7_13700H_infinity,ept-fast,read_page,77077.85,65662.7
13gen_i7_13700H_infinity,repair,timing_overhead,0.8,0.6
13gen_i7_13700H_infinity,repair,exec_bp_only,98.5,83.2
13gen_i7_13700H_infinity,repair,exec_page,100.0,81.0
13gen_i7_13700H_infinity,repair,read_byte,27.0,18.4
13gen_i7_13700H_infinity,repair,read_page,27038.55,25200.4
13gen_i7_13700H_infinity,emul,timing_overhead,0.8,0.6
13gen_i7_13700H_infinity,emul,exec_bp_only,26.5,15.1
13gen_i7_13700H_infinity,emul,exec_page,26.0,15.8
13gen_i7_13700H_infinity,emul,read_byte,27.1,19.0
13gen_i7_13700H_infinity,emul,read_page,26990.65,25375.5
13gen_i7_13700K_pc,-,sysbench,2921.45,2921.45
13gen_i7_13700K_pc,ept,timing_overhead,1.0,0.9
13gen_i7_13700K_pc,ept,exec_bp_only,65.9,55.4
13gen_i7_13700K_pc,ept,exec_page,66.1,55.3
13gen_i7_13700K_pc,ept,read_byte,66.6,56.5
13gen_i7_13700K_pc,ept,read_page,70086.2,68143.3
13gen_i7_13700K_pc,ept-fast,timing_overhead,1.0,0.9
13gen_i7_13700K_pc,ept-fast,exec_bp_only,38.4,33.3
13gen_i7_13700K_pc,ept-fast,exec_page,38.6,34.3
13gen_i7_13700K_pc,ept-fast,read_byte,66.6,56.2
13gen_i7_13700K_pc,ept-fast,read_page,70002.45000000001,67937.5
13gen_i7_13700K_pc,repair,timing_overhead,1.0,0.9
13gen_i7_13700K_pc,repair,exec_bp_only,85.0,77.2
13gen_i7_13700K_pc,repair,exec_page,85.1,76.4
13gen_i7_13700K_pc,repair,read_byte,24.6,20.8
13gen_i7_13700K_pc,repair,read_page,26437.95,25946.8
13gen_i7_13700K_pc,emul,timing_overhead,1.0,0.9
13gen_i7_13700K_pc,emul,exec_bp_only,24.7,15.8
13gen_i7_13700K_pc,emul,exec_page,24.9,19.6
13gen_i7_13700K_pc,emul,read_byte,26.1,19.1
13gen_i7_13700K_pc,emul,read_page,26715.75,25655.9
13gen_i9_13900HX_gemini,-,sysbench,4352.94,4352.94
13gen_i9_13900HX_gemini,ept,timing_overhead,0.6,0.5
13gen_i9_13900HX_gemini,ept,exec_bp_only,45.4,36.1
13gen_i9_13900HX_gemini,ept,exec_page,45.9,38.5
13gen_i9_13900HX_gemini,ept,read_byte,46.6,37.9
13gen_i9_13900HX_gemini,ept,read_page,47504.95,45468.5
13gen_i9_13900HX_gemini,ept-fast,timing_overhead,0.6,0.5
13gen_i9_13900HX_gemini,ept-fast,exec_bp_only,26.3,20.4
13gen_i9_13900HX_gemini,ept-fast,exec_page,26.5,23.3
13gen_i9_13900HX_gemini,ept-fast,read_byte,46.2,38.1
13gen_i9_13900HX_gemini,ept-fast,read_page,2.1,1.3
13gen_i9_13900HX_gemini,repair,timing_overhead,0.6,0.5
13gen_i9_13900HX_gemini,repair,exec_bp_only,58.2,50.3
13gen_i9_13900HX_gemini,repair,exec_page,58.5,52.0
13gen_i9_13900HX_gemini,repair,read_byte,17.9,13.9
13gen_i9_13900HX_gemini,repair,read_page,17712.5,16184.5
13gen_i9_13900HX_gemini,emul,timing_overhead,0.6,0.5
13gen_i9_13900HX_gemini,emul,exec_bp_only,16.5,10.6
13gen_i9_13900HX_gemini,emul,exec_page,16.8,11.0
13gen_i9_13900HX_gemini,emul,read_byte,17.5,10.8
13gen_i9_13900HX_gemini,emul,read_page,17814.35,16413.3
